"No.","Time","Source","Destination","Protocol","Length","Identification","Info"
"101","2023-05-15 15:14:05,176853","10.42.0.1","10.42.0.5","UDP","1512","0x0af8 (2808)","49290  >  5001 Len=1470"
"102","2023-05-15 15:14:05,180574","10.42.0.1","10.42.0.5","UDP","1512","0x0af9 (2809)","49290  >  5001 Len=1470"
"103","2023-05-15 15:14:05,184307","10.42.0.1","10.42.0.5","UDP","1512","0x0afa (2810)","49290  >  5001 Len=1470"
"104","2023-05-15 15:14:05,188106","10.42.0.1","10.42.0.5","UDP","1512","0x0afb (2811)","49290  >  5001 Len=1470"
"105","2023-05-15 15:14:05,191768","10.42.0.1","10.42.0.5","UDP","1512","0x0afc (2812)","49290  >  5001 Len=1470"
"106","2023-05-15 15:14:05,195460","10.42.0.1","10.42.0.5","UDP","1512","0x0afd (2813)","49290  >  5001 Len=1470"
"107","2023-05-15 15:14:05,199200","10.42.0.1","10.42.0.5","UDP","1512","0x0afe (2814)","49290  >  5001 Len=1470"
"108","2023-05-15 15:14:05,202964","10.42.0.1","10.42.0.5","UDP","1512","0x0aff (2815)","49290  >  5001 Len=1470"
"109","2023-05-15 15:14:05,206709","10.42.0.1","10.42.0.5","UDP","1512","0x0b00 (2816)","49290  >  5001 Len=1470"
"110","2023-05-15 15:14:05,210425","10.42.0.1","10.42.0.5","UDP","1512","0x0b01 (2817)","49290  >  5001 Len=1470"
"111","2023-05-15 15:14:05,214203","10.42.0.1","10.42.0.5","UDP","1512","0x0b02 (2818)","49290  >  5001 Len=1470"
"112","2023-05-15 15:14:05,217893","10.42.0.1","10.42.0.5","UDP","1512","0x0b03 (2819)","49290  >  5001 Len=1470"
"113","2023-05-15 15:14:05,221666","10.42.0.1","10.42.0.5","UDP","1512","0x0b04 (2820)","49290  >  5001 Len=1470"
"114","2023-05-15 15:14:05,225380","10.42.0.1","10.42.0.5","UDP","1512","0x0b05 (2821)","49290  >  5001 Len=1470"
"115","2023-05-15 15:14:05,229108","10.42.0.1","10.42.0.5","UDP","1512","0x0b06 (2822)","49290  >  5001 Len=1470"
"116","2023-05-15 15:14:05,232857","10.42.0.1","10.42.0.5","UDP","1512","0x0b07 (2823)","49290  >  5001 Len=1470"
"117","2023-05-15 15:14:05,236584","10.42.0.1","10.42.0.5","UDP","1512","0x0b08 (2824)","49290  >  5001 Len=1470"
"118","2023-05-15 15:14:05,240337","10.42.0.1","10.42.0.5","UDP","1512","0x0b09 (2825)","49290  >  5001 Len=1470"
"119","2023-05-15 15:14:05,244078","10.42.0.1","10.42.0.5","UDP","1512","0x0b0a (2826)","49290  >  5001 Len=1470"
"120","2023-05-15 15:14:05,247816","10.42.0.1","10.42.0.5","UDP","1512","0x0b0b (2827)","49290  >  5001 Len=1470"
"121","2023-05-15 15:14:05,251553","10.42.0.1","10.42.0.5","UDP","1512","0x0b0c (2828)","49290  >  5001 Len=1470"
