------------------------------------------------------------
Client connecting to 169.254.18.165, UDP port 5001
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 169.254.21.222 port 33986 connected with 169.254.18.165 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3] 75.5000-76.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 76.0000-76.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 76.5000-77.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 77.0000-77.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 77.5000-78.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 78.0000-78.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 78.5000-79.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 79.0000-79.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 79.5000-80.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 80.0000-80.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 80.5000-81.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 81.0000-81.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 81.5000-82.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 82.0000-82.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 82.5000-83.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 83.0000-83.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 83.5000-84.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 84.0000-84.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 84.5000-85.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 85.0000-85.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 85.5000-86.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 86.0000-86.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 86.5000-87.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 87.0000-87.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 87.5000-88.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 88.0000-88.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 88.5000-89.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 89.0000-89.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 89.5000-90.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 90.0000-90.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 90.5000-91.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 91.0000-91.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 91.5000-92.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 92.0000-92.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 92.5000-93.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 93.0000-93.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 93.5000-94.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 94.0000-94.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 94.5000-95.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 95.0000-95.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 95.5000-96.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 96.0000-96.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 96.5000-97.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 97.0000-97.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 97.5000-98.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 98.0000-98.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 98.5000-99.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 99.0000-99.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 99.5000-100.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 100.0000-100.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 100.5000-101.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 101.0000-101.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 101.5000-102.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 102.0000-102.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 102.5000-103.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 103.0000-103.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 103.5000-104.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 104.0000-104.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 104.5000-105.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 105.0000-105.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 105.5000-106.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 106.0000-106.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 106.5000-107.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 107.0000-107.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 107.5000-108.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 108.0000-108.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 108.5000-109.0000 sec   256 KBytes  4.19 Mbits/sec
